rank,Total Cases,Total Recovered
1,3803789.00,2065555.00
2,2979334.00,2871132.00
3,2346153.00,2009593.00
4,2163931.00,1822940.00
5,1387760.00,1332924.00
6,1213374.00,1160335.00
7,1128870.00,1026150.00
8,1107225.00,1076774.00
9,1019794.00,947404.00
10,1008926.00,989649.00
11,997375.00,852204.00
12,887146.00,855678.00
13,865085.00,850068.00
14,749532.00,723960.00
15,708933.00,688350.00
16,677812.00,56807.00
17,606285.00,550663.00
18,603876.00,594956.00
19,595201.00,557477.00
20,551328.00,438474.00
21,462432.00,53221.00
22,461325.00,10804.00
23,454884.00,446345.00
24,447161.00,219887.00
25,409727.00,401976.00
26,403240.00,363865.00
27,348465.00,335697.00
28,344067.00,336107.00
29,327579.00,307858.00
30,319381.00,309178.00
31,316014.00,305843.00
32,205154.00,182144.00
33,204271.00,192338.00
34,193743.00,113328.00
35,163144.00,157492.00
36,152273.00,9358.00
37,124356.00,122155.00
38,112850.00,110629.00
39,110440.00,108634.00
40,109379.00,106061.00
41,99143.00,97500.00
42,67885.00,63292.00
43,61234.00,60072.00
44,24331.00,23723.00
