Rank,Release Date,movie,Production Budget,Domestic Gross,Worldwide Gross,,,,,,,,
1,26-Apr-19,Avengers: Endgame,"$400,000,000 ","$858,373,000 ","$2,797,800,564 ",,,,,,,,
2,20-May-11,Pirates of the Caribbean: On Stranger Tides,"$379,000,000 ","$241,071,802 ","$1,045,713,802 ",,,,,,,,
3,01-May-15,Avengers: Age of Ultron,"$365,000,000 ","$459,005,868 ","$1,395,316,979 ",,,,,,,,
4,18-Dec-15,Star Wars Ep. VII: The Force Awakens,"$306,000,000 ","$936,662,225 ","$2,064,615,817 ",,,,,,,,
5,24-May-07,Pirates of the Caribbean: At World's End,"$300,000,000 ","$309,420,425 ","$960,996,492 ",,,,,,,,
6,06-Nov-15,Spectre,"$300,000,000 ","$200,074,175 ","$879,500,760 ",,,,,,,,
7,27-Apr-18,Avengers: Infinity War,"$300,000,000 ","$678,815,482 ","$2,044,540,523 ",,,,,,,,
8,17-Nov-17,Justice League,"$300,000,000 ","$229,024,295 ","$655,945,209 ",,,,,,,,
9,20-Dec-19,Star Wars: The Rise of Skywalker,"$275,000,000 ","$515,202,542 ","$1,072,848,487 ",,,,,,,,
10,25-May-18,Solo: A Star Wars Story,"$275,000,000 ","$213,767,512 ","$393,151,347 ",,,,,,,,
11,09-Mar-12,John Carter,"$263,700,000 ","$73,058,679 ","$282,778,100 ",,,,,,,,
12,25-Mar-16,Batman v Superman: Dawn of Justice,"$263,000,000 ","$330,360,194 ","$872,395,091 ",,,,,,,,
13,24-Nov-10,Tangled,"$260,000,000 ","$200,821,936 ","$585,574,317 ",,,,,,,,
14,19-Jul-19,The Lion King,"$260,000,000 ","$543,638,043 ","$1,654,381,934 ",,,,,,,,
15,04-May-07,Spider-Man 3,"$258,000,000 ","$336,530,303 ","$894,860,230 ",,,,,,,,
16,15-Jul-09,Harry Potter and the Half-Blood Prince,"$250,000,000 ","$302,089,278 ","$930,673,167 ",,,,,,,,
17,13-Dec-13,The Hobbit: The Desolation of Smaug,"$250,000,000 ","$258,241,522 ","$960,115,124 ",,,,,,,,
18,17-Dec-14,The Hobbit: The Battle of the Five Armies,"$250,000,000 ","$255,119,788 ","$942,246,938 ",,,,,,,,
19,06-May-16,Captain America: Civil War,"$250,000,000 ","$408,084,349 ","$1,151,918,521 ",,,,,,,,
20,14-Apr-17,The Fate of the Furious,"$250,000,000 ","$225,764,765 ","$1,236,703,796 ",,,,,,,,
21,28-Feb-20,Onward," $200,000,000"," $61,555,145"," $133,336,847",,,,,,,,
22,16-Dec-20,Wonder Woman 1984," $200,000,000"," $46,530,051"," $166,089,247",,,,,,,,
23,04-Sep-20,Mulan," $200,000,000", $0," $69,965,374",,,,,,,,
24,28-Oct-21,Eternals," $200,000,000", $0, $0,,,,,,,,
25,29-Jun-11,Transformers: Dark of the Moon," $195,000,000"," $352,390,543"," $1,123,794,079",,,,,,,,
26,02-Jun-17,The Mummy," $195,000,000"," $80,101,125"," $409,953,905",,,,,,,,
27,27-Feb-13,Jack the Giant Slayer," $195,000,000"," $65,187,603"," $197,687,603",,,,,,,,
28,01-Apr-15,Furious 7," $190,000,000"," $353,007,020"," $1,516,881,526",,,,,,,,
